Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats,
53210000,Chocolate wafer cookie,1,1.00000,"medium (1-3/4"" across)",1.00000,1.00000,1.00000,0.30756,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.83272,13.17159,0.00000,51.96000,0.50880,
53210000,Chocolate wafer cookie,2,0.25000,cup  Teddy Grahams,0.25000,0.25000,1.00000,0.45493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.94006,19.48298,0.00000,76.85750,0.75260,
53210000,Chocolate wafer cookie,2,1.00000,small or thin,1.00000,1.00000,1.00000,0.15378,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.41636,6.58580,0.00000,25.98000,0.25440,
53220030,Fig bar (Fig Newton),1,1.00000,"bar (bar = 1 1/2"")",1.00000,1.00000,1.00000,0.25808,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05536,0.00000,0.00000,0.00000,0.00000,0.00000,9.82368,19.18232,0.00000,55.68000,0.17920,
53220030,Fig bar (Fig Newton),2,1.00000,"small pkg (two 3"" bars)",1.00000,0.50000,0.50000,0.91941,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.19722,0.00000,0.00000,0.00000,0.00000,0.00000,34.99686,68.33702,0.00000,198.36000,0.63840,
53222010,Fortune cookie,1,1.00000,cookie,1.00000,1.00000,1.00000,0.25216,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.61208,14.02525,0.00000,30.24000,0.05360,
53222020,Ice cream cone (wafer or cake  shell only),1,1.00000,cone,1.00000,1.00000,1.00000,0.21912,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.17188,0.89267,0.00000,16.68000,0.04880,
53222020,Ice cream cone (wafer or cake  shell only),2,1.00000,large waffle cone,1.00000,0.50000,0.50000,1.58862,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.74613,6.47186,0.00000,120.93000,0.35380,
53222100,Ice cream cone (sugar cone  shell only),1,1.00000,cone,1.00000,1.00000,1.00000,0.43400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,2.79540,9.80766,0.00000,40.20000,0.05700,
53226500,Marshmallow rice krispies bar,1,1.00000,"bar (2"" square)",1.00000,0.50000,0.50000,0.71610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00653,25.53930,43.07635,0.00000,112.80000,0.57300,
53233010,Oatmeal raisin cookie,1,1.00000,"medium (2-5/8"" across)",1.00000,1.00000,1.00000,0.38714,0.07644,0.00000,0.00000,0.00000,0.00000,0.00000,0.00871,0.00000,0.00000,0.00000,0.00000,0.00009,19.53081,10.78908,0.00000,58.50000,0.58760,
53233010,Oatmeal raisin cookie,2,1.00000,"""big"" cookie (4"" across)",1.00000,0.50000,0.50000,0.74450,0.14700,0.00000,0.00000,0.00000,0.00000,0.00000,0.01675,0.00000,0.00000,0.00000,0.00000,0.00017,37.55925,20.74823,0.00000,112.50000,1.13000,
53233010,Oatmeal raisin cookie,2,1.00000,Little Debbie cookie,1.00000,0.50000,0.50000,1.13164,0.22344,0.00000,0.00000,0.00000,0.00000,0.00000,0.02546,0.00000,0.00000,0.00000,0.00000,0.00025,57.09006,31.53731,0.00000,171.00000,1.71760,
53233040,Reduced-fat oatmeal raisin cookie,1,1.00000,cookie,1.00000,1.00000,1.00000,0.40379,0.05373,0.00000,0.00000,0.00000,0.00000,0.00000,0.03834,0.00000,0.00000,0.00000,0.00000,0.12432,0.00486,10.77396,0.00000,51.57000,0.07290,
53234000,Peanut butter cookie,1,1.00000,medium,1.00000,1.00000,1.00000,0.26656,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30560,0.00480,0.00000,0.29874,14.27040,18.84424,0.00000,76.32000,0.71840,
53234000,Peanut butter cookie,2,1.00000,"""big"" cookie (4"" across)",1.00000,0.50000,0.50000,0.41650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47750,0.00750,0.00000,0.46678,22.29750,29.44412,0.00000,119.25000,1.12250,
53239000,Shortbread cookie,1,1.00000,small (Lorna Doone),1.00000,1.00000,1.00000,0.26075,0.06279,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.32872,3.89462,0.00000,35.14000,0.42770,
53239000,Shortbread cookie,2,1.00000,large,1.00000,0.50000,0.50000,0.78225,0.18837,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.98616,11.68386,0.00000,105.42000,1.28310,
53239000,Shortbread cookie,2,1.00000,"medium (2"" across)",1.00000,0.50000,0.50000,0.55875,0.13455,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.70440,8.34562,0.00000,75.30000,0.91650,
53239000,Shortbread cookie,2,1.00000,Girl Scout cookie,1.00000,1.00000,1.00000,0.23468,0.05651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.89585,3.50516,0.00000,31.62600,0.38493,
53241500,Sugar cookie,1,1.00000,"medium (2 5/8"" across)",1.00000,1.00000,1.00000,0.48336,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.00384,16.09016,0.00000,76.00000,1.08320,
53241500,Sugar cookie,2,1.00000,"large (3 1/2-4"" across)",1.00000,0.50000,0.50000,0.75525,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46.88100,25.14087,0.00000,118.75000,1.69250,
53241500,Sugar cookie,2,1.00000,"small (2"" across)",1.00000,1.00000,1.00000,0.27189,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.87716,9.05071,0.00000,42.75000,0.60930,
53243000,Vanilla sandwich cookie,1,1.00000,sandwich,1.00000,1.00000,1.00000,0.27225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,19.47033,16.69578,0.00000,53.13000,0.32780,
53247000,Vanilla wafer,1,1.00000,medium,1.00000,1.00000,1.00000,0.10752,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.11920,4.46530,0.00000,17.64000,0.15360,
53301000,Apple pie  two crust,1,1.00000,"piece (1/8 of 9"" pie)",1.00000,0.50000,0.50000,2.00400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34200,0.00000,0.00000,0.00000,0.00000,3.41700,5.48100,62.22031,0.00000,355.50000,5.70000,
